prefix3,count
can you segment,433
are there any,174
can you identify,172
please segment where,130
please segment the,126
where can we,118
where is the,117
could you identify,115
please identify and,113
is there any,111
where are the,56
can you locate,50
where does the,43
which part of,40
based on the,38
could you segment,36
please locate and,36
can you please,35
what might be,34
could you locate,29
in which part,28
what part of,28
what could be,26
in which region,25
could you highlight,22
what might cause,21
given the presence,18
is there a,17
what area in,17
could you please,16
based on medical,15
what type of,13
what is the,12
where do the,11
where can the,10
what could cause,10
is there an,10
considering general medical,10
in this image,9
in the context,9
please segment and,8
what area should,8
given the information,8
considering the diagnostic,8
based on your,8
if there is,8
how does the,7
in the image,7
considering the medical,7
in this ct,7
what area might,7
which area in,6
what area of,6
if there are,6
which region in,6
considering common medical,5
could you pinpoint,5
what region of,5
what area shows,5
what region in,5
in which vessel,4
what region could,4
what area may,4
given the diagnosis,4
what abnormality can,4
in which area,4
how might the,4
given the patient's,4
given the report,3
which organ has,3
considering the report,3
what abnormality is,3
which areas in,3
given the provided,3
which area of,3
what area could,3
in the provided,3
what areas might,3
how might this,3
is it possible,3
what areas in,3
given the medical,3
considering the location,3
in the ct,3
where can you,3
which area appears,3
which area could,3
could there be,3
what abnormal finding,3
what could potentially,3
identify and segment,3
please identify the,3
given the diagnostic,3
which region shows,3
in this case,3
where can emphysema,3
considering common lung,3
where do you,2
in which organ,2
considering the reported,2
in which regions,2
considering the risk,2
considering the patient's,2
which area s,2
considering general knowledge,2
in what part,2
please locate the,2
what region might,2
what might explain,2
considering the characteristics,2
in light of,2
which area shows,2
given that the,2
what shape does,2
which lung lobe,2
can you highlight,2
what indicates potential,2
considering the diagnosis,2
where in the,2
please identify where,2
which area might,2
what potential risk,2
if we were,2
what is an,2
given the reported,2
if there's an,2
considering medical knowledge,2
which region might,2
what might have,2
given the report's,1
what area is,1
is it necessary,1
considering common age,1
how might a,1
what abnormality was,1
is the lesion,1
which vessel in,1
which arterial segment,1
if there's any,1
where does fluid,1
where does emphysema,1
how can emphysema,1
if there's a,1
if the patient,1
how does this,1
how would you,1
which segment in,1
are the peripelvic,1
given that atelectasis,1
what are some,1
if the round,1
in which joint,1
given the potential,1
in order to,1
given the calcification,1
how could the,1
given that calcification,1
what regions within,1
which areas suggest,1
what regions should,1
could the observed,1
are the enlarged,1
what organs might,1
taking into account,1
which lung has,1
considering that lymph,1
what abnormality in,1
considering the presence,1
given that chronic,1
which area may,1
what region shows,1
if the nodule,1
which organ appears,1
given the hardening,1
given the description,1
how could this,1
can you differentiate,1
in which kidney,1
considering the postoperative,1
what potential symptoms,1
which spinal segment,1
how can one,1
what region exhibits,1
considering the report's,1
given the catheter,1
which areas of,1
which region exhibits,1
in which lung,1
are there areas,1
could the presence,1
given the finding,1
what potential health,1
could the identified,1
what area are,1
considering the information,1
which regions exhibit,1
please highlight the,1
could you outline,1
considering the description,1
considering the size,1
which endocrine organ,1
considering common bone,1
where does suspected,1
what structural change,1
if a treatment,1
considering common renal,1
given the observed,1
considering the provided,1
which organ might,1
which region of,1
how can we,1
what abnormal structure,1
how could you,1
what lesion area,1
what indicates changes,1
which anatomical structures,1
in which vertebra,1
considering the image,1
considering the given,1
where can lip,1
in which location,1
what might contribute,1
given the nature,1
given the follow,1
what could lead,1
which side of,1
what region has,1
given the size,1
what region displays,1
considering common locations,1
what region should,1
what regions might,1
what potential renal,1
given your knowledge,1
what kind of,1
what structure could,1
where can parapneumonic,1
what is considered,1
why might there,1
which area has,1
which spinal region,1
given that multiple,1
which renal abnormality,1
what might indicate,1
given the general,1
could you differentiate,1
could the dilation,1
what area would,1
which anatomical structure,1
which regions in,1
could these high,1
can you show,1
considering the possibility,1
what abnormality stands,1
which abdominal region,1
where is suspected,1
in which vessels,1
which region may,1
